with
53.11
62.83
73.3
75.59
79.2
82.83
83.23
83.63
84.58
85.53
84.17
86.5
86.25
86.74
86.47
87.37
87.8
87.38
88.02
87.19
87.84
88.14
87.56
88.75
88.22
88.77
89.13
87.26
89.08
89.06
88.62
88.98
89.72
89.4
88.95
89.48
89.91
89.34
88.97
88.17
89.37
88.95
89.37
89.44
89.31
89.85
89.28
89.9
89.77
89.75
