with
54.46
69.38
73.67
78.6
81.7
83.1
83.5
83.98
86.0
86.55
87.35
86.87
86.92
86.63
87.66
88.23
88.63
88.75
89.13
88.79
88.67
87.96
89.4
89.62
89.17
89.45
89.56
89.35
89.03
88.86
89.43
89.56
88.58
89.99
88.85
90.0
90.14
90.06
89.54
89.77
90.04
89.43
90.37
89.51
90.5
89.69
90.14
90.0
90.05
90.08
