with
58.11
68.64
76.56
72.14
79.46
81.57
82.56
84.58
83.24
82.65
85.64
84.4
85.5
86.98
88.74
87.26
87.85
88.25
87.73
88.84
89.54
86.69
88.02
88.49
90.16
88.36
89.21
89.61
89.21
89.59
90.14
89.13
88.82
90.16
89.7
89.83
90.07
88.86
90.62
90.45
90.06
90.34
88.99
90.35
90.1
90.48
89.89
91.09
89.34
90.93
