with
61.25
72.61
74.16
77.76
79.68
83.16
83.97
84.04
85.51
84.97
86.41
85.6
87.06
87.81
87.11
87.99
87.77
88.51
87.66
88.77
88.66
89.15
89.22
88.34
89.07
87.79
89.17
88.95
88.89
88.37
88.67
89.05
90.2
89.78
89.74
89.29
90.16
89.44
88.91
89.77
89.55
89.54
88.72
88.8
90.01
90.4
89.59
90.04
89.23
90.56
